"","GENDER_CAT","Category","Frequency","Proportion","p_value_F","chi_stat","p_valueChi","C_STAGE_CAT","Question"
"38","Women","Men",63,0.828947368421053,1,0.0140624726217347,1,"Senior","Q34"
"39","Men","Women",6,0.162162162162162,1,0.0140624726217347,1,"Senior","Q34"
"40","Women","Women",13,0.171052631578947,1,0.0140624726217347,1,"Senior","Q34"
"41","Men","<1",5,0.161290322580645,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"42","Women","<1",25,0.183823529411765,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"43","Men",">10",1,0.032258064516129,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"44","Women",">10",3,0.0220588235294118,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"45","Men","0",5,0.161290322580645,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"46","Women","0",23,0.169117647058824,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"47","Men","1-3.9",11,0.354838709677419,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"48","Women","1-3.9",79,0.580882352941177,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"49","Men","4-7.9",7,0.225806451612903,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"50","Women","4-7.9",6,0.0441176470588235,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"51","Men","8-9.9",2,0.0645161290322581,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"52","Women","8-9.9",0,0,0.000999500249875062,22.0636300343131,0.000499750124937531,"Junior","Q39"
"53","Men","<1",3,0.0810810810810811,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"54","Women","<1",4,0.051948051948052,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"55","Men",">10",5,0.135135135135135,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"56","Women",">10",4,0.051948051948052,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"57","Men","0",0,0,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"58","Women","0",1,0.012987012987013,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"59","Men","1-3.9",6,0.162162162162162,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"60","Women","1-3.9",31,0.402597402597403,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"61","Men","4-7.9",17,0.459459459459459,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"62","Women","4-7.9",27,0.350649350649351,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"63","Men","8-9.9",6,0.162162162162162,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"64","Women","8-9.9",10,0.12987012987013,0.0839580209895052,8.42014409371377,0.111444277861069,"Senior","Q39"
"65","Men","No",28,0.903225806451613,0.768874582635135,0.374095088330713,0.585207396301849,"Junior","Q40"
"66","Women","No",119,0.86231884057971,0.768874582635135,0.374095088330713,0.585207396301849,"Junior","Q40"
"67","Men","Yes",3,0.0967741935483871,0.768874582635135,0.374095088330713,0.585207396301849,"Junior","Q40"
"68","Women","Yes",19,0.13768115942029,0.768874582635135,0.374095088330713,0.585207396301849,"Junior","Q40"
"69","Men","No",10,0.27027027027027,0.827210994453332,0.20483657836599,0.671664167916042,"Senior","Q40"
"70","Women","No",24,0.311688311688312,0.827210994453332,0.20483657836599,0.671664167916042,"Senior","Q40"
"71","Men","Yes",27,0.72972972972973,0.827210994453332,0.20483657836599,0.671664167916042,"Senior","Q40"
"72","Women","Yes",53,0.688311688311688,0.827210994453332,0.20483657836599,0.671664167916042,"Senior","Q40"
"73","Men","No",13,0.433333333333333,0.125594448702652,2.73589355264698,0.122938530734633,"Junior","Q42"
"74","Women","No",38,0.279411764705882,0.125594448702652,2.73589355264698,0.122938530734633,"Junior","Q42"
"75","Men","Yes",17,0.566666666666667,0.125594448702652,2.73589355264698,0.122938530734633,"Junior","Q42"
"76","Women","Yes",98,0.720588235294118,0.125594448702652,2.73589355264698,0.122938530734633,"Junior","Q42"
"77","Men","No",30,0.810810810810811,0.000984544528936962,11.6422791517976,0.000999500249875062,"Senior","Q42"
"78","Women","No",36,0.473684210526316,0.000984544528936962,11.6422791517976,0.000999500249875062,"Senior","Q42"
"79","Men","Yes",7,0.189189189189189,0.000984544528936962,11.6422791517976,0.000999500249875062,"Senior","Q42"
"80","Women","Yes",40,0.526315789473684,0.000984544528936962,11.6422791517976,0.000999500249875062,"Senior","Q42"
"81","Men","No",11,0.407407407407407,0.0909520206900309,3.43140219139765,0.0919540229885057,"Junior","Q43"
"82","Women","No",30,0.234375,0.0909520206900309,3.43140219139765,0.0919540229885057,"Junior","Q43"
"83","Men","Yes",16,0.592592592592593,0.0909520206900309,3.43140219139765,0.0919540229885057,"Junior","Q43"
"84","Women","Yes",98,0.765625,0.0909520206900309,3.43140219139765,0.0919540229885057,"Junior","Q43"
"85","Men","No",14,0.388888888888889,0.185856526059843,2.01344201344201,0.190404797601199,"Senior","Q43"
"86","Women","No",19,0.256756756756757,0.185856526059843,2.01344201344201,0.190404797601199,"Senior","Q43"
"87","Men","Yes",22,0.611111111111111,0.185856526059843,2.01344201344201,0.190404797601199,"Senior","Q43"
"88","Women","Yes",55,0.743243243243243,0.185856526059843,2.01344201344201,0.190404797601199,"Senior","Q43"
